contract_id,department,vendor,approved_budget,contract_value,deviation_flag,mbd_submitted,project_phase,status,risk_score,irregular_flag,irregular_amount
C0273,Roads & Transport,Palmer and Sons,23873962,20101209,N,Y,Execution,On track,0,N,0
C0274,Housing,Sanchez-Jenkins,8133951,12899511,N,Y,Planning,Cancelled,2,Y,4765560
C0275,Waste Management,Vargas Inc,43821639,64030822,N,N,Execution,On track,2,Y,20209183
C0276,Electricity,"Clark, Lucas and Abbott",29636204,55111817,N,Y,Execution,Cancelled,2,Y,25475613
C0277,Housing,Lawrence-Coleman,37536581,40381327,N,Y,Execution,On track,1,Y,2844746
C0278,Electricity,"Long, Haney and Perry",48343574,57075389,Y,Y,Completed,On track,2,Y,8731815
C0279,Roads & Transport,Gutierrez-Sanchez,4509352,3701224,N,Y,Completed,Delayed,1,N,0
C0280,Water & Sanitation,Reeves PLC,49896359,52397257,N,Y,Completed,Cancelled,2,Y,2500898
C0281,Electricity,Guzman-Miller,200734,384576,N,Y,Planning,Delayed,2,Y,183842
C0282,Waste Management,"Mathis, Bailey and Lyons",12781730,17015033,N,Y,Completed,Delayed,2,Y,4233303
C0283,Water & Sanitation,Clark-Cruz,41628843,47819610,N,Y,Planning,Delayed,2,Y,6190767
C0284,Water & Sanitation,Johnson-Wilson,37770243,43387928,N,N,Planning,Delayed,3,Y,5617685
C0285,Roads & Transport,Sanchez-Jenkins,23389643,25440463,N,Y,Completed,Delayed,2,Y,2050820
C0286,Housing,Rogers Inc,26055176,21693815,N,Y,Execution,On track,0,N,0
C0287,Housing,Jimenez-Roberts,2046830,2016228,N,Y,Planning,Delayed,1,N,0
C0288,Electricity,"Chavez, Reed and Cox",35883612,37731830,N,Y,Completed,Cancelled,2,Y,1848218
C0289,Electricity,Henderson-Miller,20908635,39593118,N,Y,Execution,Delayed,2,Y,18684483
C0290,Roads & Transport,Sanchez-Jenkins,28050196,29241641,N,Y,Execution,On track,1,Y,1191445
C0291,Roads & Transport,Martin LLC,48215625,44046989,N,Y,Execution,Cancelled,1,N,0
C0292,Waste Management,"Cunningham, Fisher and Smith",28275911,25287623,N,Y,Execution,On track,0,N,0
C0293,Housing,Frye-Weaver,34912381,31247186,N,Y,Execution,Delayed,1,N,0
C0294,Roads & Transport,Jimenez-Roberts,45777380,70942684,Y,Y,Completed,Delayed,3,Y,25165304
C0295,Housing,"Baker, Bonilla and Kim",5640070,5849769,Y,Y,Planning,Cancelled,3,Y,209699
C0296,Electricity,Leonard-Reynolds,2944664,3366323,Y,Y,Execution,On track,2,Y,421659
C0297,Housing,Reed-White,21420139,25445591,N,Y,Execution,Cancelled,2,Y,4025452
C0298,Housing,Guzman-Miller,47330658,44129010,N,Y,Execution,Delayed,1,N,0
C0299,Electricity,"Gomez, Gentry and Anthony",22139912,19914534,N,Y,Planning,On track,0,N,0
C0300,Waste Management,"Lee, Roberts and Lee",46450911,44209349,N,Y,Execution,On track,0,N,0
C0301,Housing,"Crawford, Olsen and Smith",9814891,11166089,N,Y,Completed,Delayed,2,Y,1351198
C0302,Water & Sanitation,Martin LLC,38309230,38920734,Y,Y,Planning,Delayed,3,Y,611504
C0303,Electricity,Henderson-Miller,20809657,27004440,N,Y,Execution,Delayed,2,Y,6194783
C0304,Roads & Transport,"Wood, Beck and Wallace",15802852,16338067,N,Y,Completed,Delayed,2,Y,535215
C0305,Water & Sanitation,Paul-Rosales,47976337,38475870,N,Y,Completed,Cancelled,1,N,0
C0306,Housing,"Baker, Bonilla and Kim",36793176,33176032,N,Y,Completed,Cancelled,1,N,0
C0307,Housing,Frye-Weaver,4373445,3551191,N,Y,Planning,Cancelled,1,N,0
C0308,Water & Sanitation,Holt and Sons,6789142,5942805,N,Y,Completed,Cancelled,1,N,0
C0309,Roads & Transport,Clark-Cruz,900101,783861,N,Y,Completed,On track,0,N,0
C0310,Housing,"Crawford, Olsen and Smith",30655353,24739065,N,Y,Completed,Cancelled,1,N,0
C0311,Water & Sanitation,Gutierrez-Sanchez,22579150,18337765,N,Y,Planning,Cancelled,1,N,0
C0312,Roads & Transport,Reeves PLC,20021696,23552524,N,Y,Planning,Delayed,2,Y,3530828
C0313,Water & Sanitation,"Parker, Abbott and Taylor",20817501,24976119,Y,Y,Execution,Delayed,3,Y,4158618
C0314,Housing,"Sutton, Brown and Gibson",2925896,3221326,Y,Y,Planning,Cancelled,3,Y,295430
C0315,Housing,Leonard-Reynolds,15199203,16811478,N,Y,Completed,On track,1,Y,1612275
C0316,Electricity,"Odom, Anthony and Lopez",46273665,51786036,N,Y,Planning,Cancelled,2,Y,5512371
C0317,Housing,"Wood, Beck and Wallace",46631927,49412582,N,Y,Completed,On track,1,Y,2780655
C0318,Housing,"Lee, Roberts and Lee",2061977,2223196,N,Y,Planning,On track,1,Y,161219
C0319,Housing,Lawrence-Coleman,13711312,13406479,Y,Y,Execution,Delayed,2,Y,0
C0320,Roads & Transport,"Cunningham, Fisher and Smith",8479341,8355522,N,Y,Planning,Delayed,1,N,0
C0321,Roads & Transport,"Sherman, Freeman and Tyler",14946767,17423365,N,N,Completed,On track,2,Y,2476598
C0322,Water & Sanitation,Gutierrez-Sanchez,36035364,37190980,N,Y,Execution,Cancelled,2,Y,1155616
C0323,Roads & Transport,Lawrence-Coleman,11005942,11966201,N,N,Execution,Cancelled,3,Y,960259
C0324,Roads & Transport,Vargas Inc,35653686,41311416,Y,Y,Execution,On track,2,Y,5657730
C0325,Housing,Rogers Inc,22260074,19563525,N,Y,Planning,On track,0,N,0
C0326,Housing,Leonard-Reynolds,43400173,39177797,N,Y,Execution,Cancelled,1,N,0
C0327,Roads & Transport,"Heath, Caldwell and Cruz",26517902,27376361,Y,Y,Execution,On track,2,Y,858459
C0328,Housing,"Long, Haney and Perry",39958177,38576408,Y,Y,Planning,Cancelled,2,Y,0
C0329,Water & Sanitation,"Chavez, Reed and Cox",39797758,44570004,Y,Y,Completed,Delayed,3,Y,4772246
C0330,Roads & Transport,Richardson Inc,20768329,24238737,N,N,Planning,Cancelled,3,Y,3470408
C0331,Roads & Transport,Clark-Cruz,14052821,11486284,N,Y,Completed,On track,0,N,0
C0332,Waste Management,Palmer and Sons,33866262,34071832,N,Y,Completed,Cancelled,2,Y,205570
C0333,Electricity,Lawrence-Coleman,25787822,24870069,N,Y,Planning,Cancelled,1,N,0
C0334,Water & Sanitation,Welch-Gibson,41638255,37568448,N,Y,Execution,On track,0,N,0
C0335,Waste Management,"Fowler, Nelson and Oliver",31986947,34130710,Y,Y,Completed,On track,2,Y,2143763
C0336,Water & Sanitation,"Parker, Abbott and Taylor",8989782,7795990,N,Y,Execution,Cancelled,1,N,0
C0337,Housing,"Odom, Anthony and Lopez",17744180,21628573,N,Y,Planning,On track,1,Y,3884393
C0338,Waste Management,"Fowler, Nelson and Oliver",29665896,30786986,N,Y,Completed,Cancelled,2,Y,1121090
C0339,Roads & Transport,Berg-Alvarez,49233346,52696247,N,Y,Execution,Delayed,2,Y,3462901
C0340,Roads & Transport,Lane PLC,24868424,29755128,Y,N,Execution,On track,3,Y,4886704
C0341,Housing,Henderson-Miller,24103801,28013676,N,Y,Planning,On track,1,Y,3909875
C0342,Housing,Jimenez-Roberts,20135300,17653562,N,Y,Execution,On track,0,N,0
C0343,Housing,"Mathis, Bailey and Lyons",48402504,47287502,N,Y,Execution,Cancelled,1,N,0
C0344,Water & Sanitation,Vargas Inc,32018507,32530955,N,Y,Execution,Cancelled,2,Y,512448
C0345,Roads & Transport,"Lee, Roberts and Lee",7434901,7306600,Y,N,Execution,Cancelled,3,Y,0
C0346,Roads & Transport,"Crawford, Olsen and Smith",15031115,15378534,N,Y,Completed,On track,1,Y,347419
C0347,Housing,Reeves PLC,10193205,12059072,Y,Y,Completed,Cancelled,3,Y,1865867
C0348,Roads & Transport,"Wood, Beck and Wallace",19761007,19149910,N,N,Planning,Cancelled,2,Y,0
C0349,Water & Sanitation,Lawrence-Coleman,17185839,19216861,N,Y,Execution,Cancelled,2,Y,2031022
C0350,Roads & Transport,Johnson-Wilson,37427195,30241568,N,Y,Execution,On track,0,N,0
C0351,Electricity,Reed-White,39964640,40299671,N,N,Planning,Delayed,3,Y,335031
C0352,Housing,Miller PLC,22736262,23722892,N,Y,Planning,On track,1,Y,986630
C0353,Waste Management,"Castro, Trevino and Young",2715804,3917554,N,Y,Execution,Delayed,2,Y,1201750
C0354,Roads & Transport,"Cunningham, Fisher and Smith",40978420,36701179,N,Y,Completed,Cancelled,1,N,0
C0355,Waste Management,Gonzalez PLC,41772086,48010106,Y,Y,Completed,Cancelled,3,Y,6238020
C0356,Electricity,Gonzalez PLC,33527797,32066558,N,Y,Completed,On track,0,N,0
C0357,Housing,"Wood, Beck and Wallace",36532549,34788094,N,Y,Execution,Delayed,1,N,0
C0358,Water & Sanitation,"Heath, Caldwell and Cruz",38971173,34481420,N,Y,Execution,On track,0,N,0
C0359,Housing,Gutierrez-Sanchez,31319362,33761659,N,Y,Planning,Delayed,2,Y,2442297
C0360,Water & Sanitation,"Sherman, Freeman and Tyler",1590687,1638511,N,Y,Execution,Cancelled,2,Y,47824
C0361,Roads & Transport,Fry-Griffin,11640237,13494580,N,Y,Execution,Delayed,2,Y,1854343
C0362,Electricity,Miller PLC,34623048,36926268,Y,Y,Execution,On track,2,Y,2303220
C0363,Electricity,Johnson-Wilson,26331747,31209598,N,Y,Completed,Cancelled,2,Y,4877851
C0364,Water & Sanitation,Fry-Griffin,45724927,53707569,N,Y,Execution,On track,1,Y,7982642
C0365,Electricity,Leonard-Reynolds,33165406,29398322,N,Y,Planning,On track,0,N,0
C0366,Waste Management,"Finley, Burch and Reed",49062002,50326645,Y,Y,Completed,On track,2,Y,1264643
C0367,Electricity,Paul-Rosales,1073181,883348,N,Y,Planning,Cancelled,1,N,0
C0368,Water & Sanitation,"Long, Haney and Perry",20737778,17209285,N,Y,Planning,On track,0,N,0
C0369,Waste Management,Palmer and Sons,25403302,20955608,N,Y,Planning,On track,0,N,0
C0370,Water & Sanitation,"Castro, Trevino and Young",6414768,5698373,Y,Y,Planning,Delayed,2,Y,0
C0371,Electricity,"Lee, Roberts and Lee",18421829,15700632,N,Y,Execution,On track,0,N,0
C0372,Electricity,Palmer and Sons,30690972,31004076,N,Y,Planning,On track,1,Y,313104
C0373,Housing,"Clark, Lucas and Abbott",15905013,14305479,Y,Y,Planning,Cancelled,2,Y,0
C0374,Water & Sanitation,Rogers Inc,39131525,43205740,Y,Y,Execution,Delayed,3,Y,4074215
C0375,Waste Management,"Lee, Roberts and Lee",47346348,65951624,N,Y,Planning,Delayed,2,Y,18605276
C0376,Waste Management,Clark-Cruz,27809612,41634516,N,Y,Completed,On track,1,Y,13824904
C0377,Waste Management,Welch-Gibson,2707411,2327548,Y,Y,Execution,Cancelled,2,Y,0
C0378,Water & Sanitation,Fry-Griffin,39196943,38820936,N,Y,Execution,Delayed,1,N,0
C0379,Housing,"Sherman, Freeman and Tyler",27251781,32224927,Y,N,Planning,Delayed,4,Y,4973146
C0380,Housing,Henderson-Miller,10588951,11385810,N,Y,Planning,Delayed,2,Y,796859
C0381,Waste Management,"Sutton, Brown and Gibson",36366225,69874413,N,Y,Planning,On track,1,Y,33508188
C0382,Roads & Transport,"Wood, Beck and Wallace",13431233,13163276,N,Y,Completed,Cancelled,1,N,0
C0383,Waste Management,Guzman-Miller,12052983,10151955,N,Y,Execution,Delayed,1,N,0
C0384,Waste Management,"Clark, Lucas and Abbott",4205223,5331523,N,N,Execution,Delayed,3,Y,1126300
C0385,Waste Management,"Chavez, Reed and Cox",37709879,30704452,N,Y,Execution,On track,0,N,0
C0386,Water & Sanitation,Johnson-Wilson,37989950,35706043,N,Y,Completed,Cancelled,1,N,0
C0387,Electricity,Moyer-Robinson,47737042,40068480,N,Y,Execution,On track,0,N,0
C0388,Housing,Paul-Rosales,10501929,13292683,N,Y,Execution,Delayed,2,Y,2790754
C0389,Housing,Martin LLC,15553951,18515366,N,N,Planning,Delayed,3,Y,2961415
C0390,Housing,"Baker, Bonilla and Kim",23350723,25915881,N,Y,Completed,Delayed,2,Y,2565158
C0391,Roads & Transport,"Sutton, Brown and Gibson",46061405,42785803,Y,Y,Completed,Delayed,2,Y,0
C0392,Water & Sanitation,Harris Inc,19777953,20430013,N,Y,Planning,On track,1,Y,652060
C0393,Housing,"Crawford, Olsen and Smith",1081883,884433,Y,Y,Completed,Cancelled,2,Y,0
C0394,Roads & Transport,"Castro, Trevino and Young",5518952,5369006,N,Y,Completed,On track,0,N,0
C0395,Waste Management,Jimenez-Roberts,24048053,28168134,N,Y,Completed,Delayed,2,Y,4120081
C0396,Water & Sanitation,Gonzalez PLC,22372887,23907263,N,Y,Execution,Cancelled,2,Y,1534376
C0397,Housing,Martin LLC,36313515,32714715,N,Y,Planning,Delayed,1,N,0
C0398,Waste Management,Welch-Gibson,41935879,36578060,Y,Y,Execution,On track,1,Y,0
C0399,Waste Management,Sanchez-Jenkins,13789493,16202036,Y,Y,Planning,On track,2,Y,2412543
C0400,Housing,Clark-Cruz,28999868,24265591,N,Y,Planning,Delayed,1,N,0
C0401,Waste Management,"Fowler, Nelson and Oliver",43269174,47298426,N,Y,Planning,Delayed,2,Y,4029252
C0402,Waste Management,Clark-Cruz,36008279,30332376,Y,N,Execution,Cancelled,3,Y,0
C0403,Waste Management,"Wood, Beck and Wallace",48595982,47309170,Y,Y,Completed,Cancelled,2,Y,0
C0404,Waste Management,Reeves PLC,31612427,37831349,Y,Y,Completed,Cancelled,3,Y,6218922
C0405,Roads & Transport,Reeves PLC,13826569,12780887,N,Y,Planning,Delayed,1,N,0
C0406,Roads & Transport,Paul-Rosales,24165754,22767857,N,Y,Execution,On track,0,N,0
C0407,Electricity,"Sutton, Brown and Gibson",22561013,25628985,N,N,Completed,Cancelled,3,Y,3067972
C0408,Housing,Henderson-Miller,21353537,22877144,N,Y,Planning,Cancelled,2,Y,1523607
C0409,Water & Sanitation,Harris Inc,6839013,8196787,N,Y,Completed,Cancelled,2,Y,1357774
C0410,Electricity,Clark-Ward,14363315,12738589,Y,Y,Execution,Delayed,2,Y,0
C0411,Roads & Transport,Berg-Alvarez,8174037,6549752,N,Y,Execution,Delayed,1,N,0
C0412,Roads & Transport,Richardson Inc,43381526,43556955,N,N,Completed,Cancelled,3,Y,175429
C0413,Water & Sanitation,Fry-Griffin,28827993,29527476,N,Y,Planning,On track,1,Y,699483
C0414,Waste Management,Fry-Griffin,34949361,28280083,N,Y,Completed,On track,0,N,0
C0415,Roads & Transport,Gutierrez-Sanchez,36069234,52927656,N,Y,Completed,Delayed,2,Y,16858422
C0416,Housing,"Chavez, Reed and Cox",31732286,31989908,N,N,Execution,Delayed,3,Y,257622
C0417,Roads & Transport,"Finley, Burch and Reed",4955920,4140374,N,Y,Completed,On track,0,N,0
C0418,Roads & Transport,Moyer-Robinson,5632410,6158738,N,Y,Planning,Delayed,2,Y,526328
C0419,Waste Management,"Gomez, Gentry and Anthony",48106403,41915156,N,Y,Completed,Cancelled,1,N,0
C0420,Roads & Transport,Reed-White,38037226,44888685,N,Y,Planning,Delayed,2,Y,6851459
C0421,Waste Management,Fry-Griffin,46901033,38012287,Y,Y,Planning,On track,1,Y,0
C0422,Roads & Transport,"Finley, Burch and Reed",32079500,37592258,N,N,Planning,Delayed,3,Y,5512758
C0423,Roads & Transport,"Baker, Bonilla and Kim",38660290,44424233,N,Y,Planning,On track,1,Y,5763943
C0424,Housing,Lane PLC,24874704,29226317,N,Y,Execution,On track,1,Y,4351613
C0425,Electricity,Clark-Ward,12843293,12825112,N,Y,Completed,Cancelled,1,N,0
C0426,Electricity,Sanchez-Jenkins,44790216,46765019,Y,Y,Completed,Cancelled,3,Y,1974803
C0427,Roads & Transport,Henderson-Miller,3128631,2519677,N,N,Execution,Cancelled,2,Y,0
C0428,Water & Sanitation,Moyer-Robinson,21736437,19536525,N,Y,Planning,Delayed,1,N,0
C0429,Water & Sanitation,"Baker, Bonilla and Kim",27264495,26488949,N,Y,Completed,Delayed,1,N,0
C0430,Waste Management,Contreras and Sons,666088,541826,Y,Y,Completed,Cancelled,2,Y,0
C0431,Housing,"Parker, Abbott and Taylor",9422004,9086940,N,Y,Planning,Delayed,1,N,0
C0432,Water & Sanitation,"Baker, Bonilla and Kim",26721905,27238392,Y,Y,Planning,Cancelled,3,Y,516487
C0433,Housing,"Heath, Caldwell and Cruz",12224052,18764343,N,Y,Execution,On track,1,Y,6540291
C0434,Housing,"Crawford, Olsen and Smith",46489268,49356253,Y,Y,Planning,Delayed,3,Y,2866985
C0435,Waste Management,Contreras and Sons,46517810,54835864,N,Y,Completed,On track,1,Y,8318054
C0436,Housing,Welch-Gibson,27631424,24595470,N,Y,Completed,Delayed,1,N,0
C0437,Electricity,Paul-Rosales,33454320,29806588,N,Y,Planning,On track,0,N,0
C0438,Waste Management,Lawrence-Coleman,44982342,45765722,Y,Y,Planning,Cancelled,3,Y,783380
C0439,Waste Management,Williams-Moore,1479904,1267365,N,Y,Execution,Delayed,1,N,0
C0440,Electricity,Holt and Sons,16474601,15893150,N,Y,Planning,On track,0,N,0
C0441,Roads & Transport,Williams-Moore,24667790,27691110,N,N,Planning,Cancelled,3,Y,3023320
C0442,Electricity,Mcconnell Ltd,21695966,20305492,N,Y,Completed,On track,0,N,0
C0443,Electricity,Richardson Inc,36285155,36566522,N,Y,Completed,Delayed,2,Y,281367
C0444,Housing,Mcconnell Ltd,19778933,17844500,N,Y,Completed,Cancelled,1,N,0
C0445,Housing,"Sherman, Freeman and Tyler",3233211,2621704,Y,Y,Completed,Cancelled,2,Y,0
C0446,Waste Management,"Baker, Bonilla and Kim",12856935,12294975,N,Y,Completed,Delayed,1,N,0
C0447,Electricity,Gutierrez-Sanchez,41345272,34621008,N,Y,Planning,Delayed,1,N,0
C0448,Housing,Lawrence-Coleman,33191145,49300028,N,Y,Execution,Delayed,2,Y,16108883
C0449,Waste Management,Fry-Griffin,4563158,4007987,N,Y,Execution,Cancelled,1,N,0
C0450,Water & Sanitation,Welch-Gibson,43491803,48593588,N,Y,Execution,Delayed,2,Y,5101785
C0451,Water & Sanitation,Fry-Griffin,28280762,33750504,Y,Y,Execution,Delayed,3,Y,5469742
C0452,Water & Sanitation,Johnson-Wilson,18646183,19796969,Y,Y,Planning,Cancelled,3,Y,1150786
C0453,Waste Management,Sanchez-Jenkins,25539173,29184879,Y,Y,Execution,Delayed,3,Y,3645706
C0454,Waste Management,Jimenez-Roberts,30881302,29865442,N,Y,Completed,On track,0,N,0
C0455,Housing,Leonard-Reynolds,41637804,49916701,N,Y,Completed,On track,1,Y,8278897
C0456,Roads & Transport,"Chavez, Reed and Cox",20829471,34322897,N,Y,Execution,Cancelled,2,Y,13493426
C0457,Electricity,Fry-Griffin,28566841,50997444,Y,Y,Execution,On track,2,Y,22430603
C0458,Roads & Transport,Guzman-Miller,28290067,23885285,N,Y,Planning,Cancelled,1,N,0
C0459,Electricity,Reed-White,45931617,45183210,N,Y,Planning,Cancelled,1,N,0
C0460,Housing,Gutierrez-Sanchez,633634,640080,N,N,Completed,Cancelled,3,Y,6446
C0461,Waste Management,Berg-Alvarez,38988665,34931880,Y,Y,Execution,Delayed,2,Y,0
C0462,Roads & Transport,Clark-Ward,16250865,17233376,N,Y,Execution,Delayed,2,Y,982511
C0463,Waste Management,Fry-Griffin,40132875,47824018,N,N,Completed,Cancelled,3,Y,7691143
C0464,Roads & Transport,Henderson-Miller,18579375,17203903,Y,Y,Execution,On track,1,Y,0
C0465,Waste Management,"Sherman, Freeman and Tyler",46837861,41726530,N,Y,Execution,Delayed,1,N,0
C0466,Roads & Transport,Martin LLC,9793374,11228638,N,Y,Completed,Cancelled,2,Y,1435264
C0467,Electricity,Paul-Rosales,25893044,37367730,N,Y,Planning,Cancelled,2,Y,11474686
C0468,Electricity,Rose LLC,1988806,1638055,N,Y,Execution,Cancelled,1,N,0
C0469,Housing,"Castro, Trevino and Young",909178,767706,N,Y,Completed,Cancelled,1,N,0
C0470,Water & Sanitation,Welch-Gibson,22384899,19061625,N,Y,Completed,Delayed,1,N,0
C0471,Roads & Transport,"Castro, Trevino and Young",44424346,36286244,N,Y,Completed,Cancelled,1,N,0
C0472,Waste Management,Harris Inc,10639669,9755377,N,Y,Completed,Cancelled,1,N,0
C0473,Housing,Sanchez-Jenkins,34596200,41263561,N,Y,Execution,On track,1,Y,6667361
C0474,Roads & Transport,Welch-Gibson,14007579,12783435,N,N,Planning,On track,1,Y,0
C0475,Roads & Transport,Richardson Inc,2509381,2076102,N,N,Execution,On track,1,Y,0
C0476,Electricity,"Castro, Trevino and Young",20160832,18558168,N,Y,Planning,On track,0,N,0
C0477,Roads & Transport,"Crawford, Olsen and Smith",13174362,13695056,Y,Y,Completed,Cancelled,3,Y,520694
C0478,Waste Management,Reed-White,9814177,10180134,N,Y,Completed,Delayed,2,Y,365957
C0479,Waste Management,"Castro, Trevino and Young",3725654,4229589,N,Y,Completed,Delayed,2,Y,503935
C0480,Electricity,Berg-Alvarez,9341354,10670427,N,N,Planning,Cancelled,3,Y,1329073
C0481,Waste Management,Berg-Alvarez,14052275,13986929,N,Y,Completed,Delayed,1,N,0
C0482,Water & Sanitation,Gonzalez PLC,6094376,6897095,N,Y,Execution,Cancelled,2,Y,802719
C0483,Electricity,Gutierrez-Sanchez,7922636,6598627,N,Y,Completed,Delayed,1,N,0
C0484,Housing,Clark-Cruz,35204616,30484728,Y,Y,Completed,On track,1,Y,0
C0485,Roads & Transport,Rogers Inc,33369285,36073982,N,Y,Planning,Delayed,2,Y,2704697
C0486,Waste Management,Gutierrez-Sanchez,45088955,50260664,N,Y,Execution,Delayed,2,Y,5171709
C0487,Housing,Sanchez-Jenkins,25628279,28125436,N,Y,Completed,Delayed,2,Y,2497157
C0488,Electricity,Williams-Moore,36316069,29095287,Y,Y,Completed,On track,1,Y,0
C0489,Roads & Transport,Fry-Griffin,4954042,4511773,N,Y,Completed,Delayed,1,N,0
C0490,Roads & Transport,Jimenez-Roberts,37026887,36248850,N,Y,Planning,Cancelled,1,N,0
C0491,Waste Management,Miller PLC,24828252,29946130,N,N,Execution,On track,2,Y,5117878
C0492,Electricity,"Long, Haney and Perry",15811072,17724753,N,Y,Execution,Cancelled,2,Y,1913681
C0493,Electricity,Moyer-Robinson,42528797,47916041,N,Y,Planning,On track,1,Y,5387244
C0494,Housing,Rose LLC,1600948,1605694,N,Y,Planning,Delayed,2,Y,4746
C0495,Water & Sanitation,Contreras and Sons,36357426,42602565,Y,Y,Completed,Delayed,3,Y,6245139
C0496,Electricity,Clark-Ward,47818418,55614943,N,Y,Planning,Delayed,2,Y,7796525
C0497,Electricity,Reeves PLC,48591820,57416738,N,Y,Execution,On track,1,Y,8824918
C0498,Roads & Transport,"Sutton, Brown and Gibson",9135949,12845927,Y,Y,Planning,On track,2,Y,3709978
C0499,Roads & Transport,Rogers Inc,28851505,27510935,N,Y,Completed,On track,0,N,0
C0500,Housing,Gutierrez-Sanchez,11144590,12264300,Y,N,Completed,On track,3,Y,1119710
